births_known,county,fips,low_birth_weight,late_or_no_prenatal,prenatal_known,tobacco_known,tobacco_yes,age_15_19,age_35_plus,age_known,low_birth_weight_pct,late_or_no_prenatal_pct,tobacco_use_pct,maternal_age_15_19_pct,maternal_age_35_plus_pct,fips_st_cnty,st_name_abbrev,ahrf_county,rural_urban_continuum_code,primary_care_hpsa,population_2024,median_household_income,poverty_pct,uninsured_under65_pct,obgyn_count,midwife_count,obstetric_hospital_count,population_density,obgyn_per_100k,midwives_per_100k,obstetric_hospitals_per_100k,log_population_density,cross_validated_prediction,cross_validated_residual
12546,"Baldwin County, AL",01003,1043,2982,12528,12547,514,569,1974,12549,8.3134066634784,23.802681992337163,4.096596796046864,4.5342258347278666,15.730337078651685,1003,AL,"Baldwin, AL",3.0,1,261608.0,75019.0,10.5,10.2,21.0,2.0,2.0,145.8,8.027277453288889,0.7645026145989419,0.7645026145989419,4.9890711161804155,7.9896897248956495,0.3237169385827503
6426,"Calhoun County, AL",01015,585,1693,6436,6437,713,431,679,6439,9.103641456582633,26.305158483530143,11.076588472891098,6.6935859605528805,10.545115701195838,1015,AL,"Calhoun, AL",3.0,1,116427.0,55826.0,17.5,11.8,12.0,0.0,0.0,192.2,10.306887577623748,0.0,0.0,5.263725921778417,9.423952031272286,-0.3203105746896533
5859,"Etowah County, AL",01055,460,1879,5863,5865,443,512,610,5867,7.851169141491722,32.048439365512536,7.553282182438193,8.726776887676836,10.397136526333732,1055,AL,"Etowah, AL",3.0,1,103207.0,53070.0,17.1,11.3,5.0,2.0,0.0,193.3,4.844632631507553,1.937853052603021,0.0,5.269403356383394,9.673461520157396,-1.822292378665674
6444,"Houston County, AL",01069,691,1695,6444,6448,412,489,703,6438,10.723153320918684,26.303538175046555,6.389578163771712,7.595526561043802,10.919540229885058,1069,AL,"Houston, AL",3.0,0,109366.0,57531.0,18.0,11.7,18.0,7.0,1.0,184.9,16.458497156337433,6.400526671909002,0.9143609531298574,5.225208894727398,10.842767444645398,-0.11961412372671454
39451,"Jefferson County, AL",01073,4489,10562,39303,39398,921,1893,6776,39472,11.37867227700185,26.873266671755335,2.3376821158434438,4.7958046209971625,17.166599108228617,1073,AL,"Jefferson, AL",1.0,1,664744.0,64589.0,16.3,9.6,165.0,7.0,2.0,607.0,24.821585452444854,1.0530369585885695,0.300867702453877,6.410174881966167,10.775889444920132,0.6027828320817186
9693,"Lee County, AL",01081,955,2156,9681,9701,241,456,1445,9683,9.852470855256371,22.270426608821403,2.484279971136996,4.709284312713002,14.923061034803263,1081,AL,"Lee, AL",3.0,1,187847.0,61123.0,18.9,10.0,15.0,0.0,0.0,286.8,7.985222015789446,0.0,0.0,5.662265794453267,9.906811198663373,-0.05434034340700222
22365,"Madison County, AL",01089,2252,7530,22307,22360,659,966,3738,22369,10.069304717192042,33.75622002062133,2.947227191413238,4.318476462962135,16.710626313201306,1089,AL,"Madison, AL",2.0,1,423355.0,83528.0,10.5,8.1,49.0,3.0,1.0,484.2,11.574210768740182,0.7086251491065417,0.23620838303551392,6.184561177069895,8.923940159071577,1.1453645581204643
25213,"Mobile County, AL",01097,3054,5724,25188,25226,1235,1636,3278,25232,12.112798952921112,22.72510719390186,4.8957424879093,6.483830057070387,12.99143944197844,1097,AL,"Mobile, AL",2.0,1,412339.0,58119.0,16.3,11.8,77.0,0.0,1.0,337.4,18.673955167956464,0.0,0.2425188982851489,5.824228627732068,10.757804951411364,1.3549940015097484
14694,"Montgomery County, AL",01101,1951,5435,14646,14691,378,1067,2076,14698,13.277528242820198,37.10910828895261,2.5730038799264854,7.259491087222751,14.124370662675194,1101,AL,"Montgomery, AL",2.0,1,225894.0,58153.0,19.3,11.3,25.0,5.0,2.0,291.5,11.0671376840465,2.2134275368093,0.88537101472372,5.678464666671911,10.439577414864722,2.837950827955476
7307,"Morgan County, AL",01103,649,2923,7297,7318,551,485,820,7305,8.881894074175449,40.05755790050706,7.529379611915824,6.639288158795345,11.225188227241615,1103,AL,"Morgan, AL",3.0,1,126084.0,64858.0,13.6,12.3,8.0,0.0,0.0,212.9,6.344976364963041,0.0,0.0,5.36550861608836,8.583166997832937,0.2987270763425123
11627,"Shelby County, AL",01117,1032,2441,11609,11618,235,333,2201,11624,8.87589231960093,21.026789559824273,2.022723360302978,2.864762560220234,18.934962147281485,1117,AL,"Shelby, AL",1.0,0,235969.0,93543.0,6.9,7.6,21.0,1.0,0.0,284.0,8.899474083460115,0.4237844801647674,0.0,5.652489180268651,7.8543520895826004,1.0215402300183287
