,count,mean,std,min,25%,50%,75%,max
low_birth_weight_pct,578.0,8.441354823829206,1.579486962839504,5.207561156412157,7.316453361680694,8.244526243477406,9.225013528650342,15.766755017039001
late_or_no_prenatal_pct,578.0,22.4569829083835,7.284980800365209,7.750743444174101,17.03494460938744,21.493846561276435,26.96420781864232,46.61953159522757
tobacco_use_pct,578.0,4.488935244474802,3.463171525510362,0.0,1.8443750414517974,3.748030831711254,6.178574140932618,19.87421383647799
maternal_age_15_19_pct,578.0,3.907067070404891,1.717263026953552,0.5898860317278506,2.5380273718767543,3.830556464709404,5.009089698413061,9.90804299961145
maternal_age_35_plus_pct,578.0,19.456239567587502,6.2344814527790655,9.542996500901284,14.751413369443345,18.009148152264054,23.27512996653222,46.0348907600022
poverty_pct,570.0,12.108771929824561,4.339027966181143,3.2,8.8,11.7,14.8,28.8
uninsured_under65_pct,570.0,8.930000000000001,4.115809674831625,2.4,5.8,7.9,11.3,30.2
obgyn_per_100k,570.0,11.08519454671589,7.4926597385171005,0.5054870620586466,5.91038573694266,9.281595436773788,13.923821704483482,50.367288735388584
midwives_per_100k,570.0,3.44221967949976,3.22364128397532,0.0,1.1772344621633506,2.4899259612722826,4.817949255296143,19.824880224681976
obstetric_hospitals_per_100k,570.0,0.5238149109353597,0.3960914589762662,0.0,0.2652822555672422,0.4812368198516715,0.7475463301992324,2.439069007359891
log_population_density,578.0,6.095028858391933,1.1777684401297608,2.174751721484161,5.4126446366440515,5.980655837465255,6.739593794020115,11.222328481623869
primary_care_hpsa,578.0,0.9013840830449827,0.29840387858551204,0.0,1.0,1.0,1.0,1.0
