feature,importance,importance_sd,standardized_coefficient
maternal_age_15_19_pct,0.6126233701888,0.05225615013674388,0.7442228961185291
poverty_pct,0.23517622734528432,0.01468902930068479,0.24657495032037677
log_population_density,0.18045951732151364,0.01292354370827298,0.4355196653899999
obgyn_per_100k,0.15707292770661685,0.018833946424608904,0.4192687064087908
late_or_no_prenatal_pct,0.05787520866759884,0.005637253169199574,0.2012916992004042
tobacco_use_pct,0.045152203315051986,0.00353612890645097,-0.06910382803034959
uninsured_under65_pct,0.035888719078239525,0.0031004686951433052,-0.32547925731684846
obstetric_hospitals_per_100k,0.02730537275680435,0.0027313056817856517,-0.09452997680412642
midwives_per_100k,0.020942230231716742,0.0020330460811321667,-0.06812489454547872
maternal_age_35_plus_pct,0.018624202147151044,0.0010442050768260155,-0.38459594840364875
primary_care_hpsa,0.0007658807286704761,0.00014164969841724595,-0.10939576652431432
