Column Name,Short Column Name,Description,Data Type,Units,Example Value,Response Options,Remarks
Your age,Age,Age range of the respondent,Integer,Years,25,Range: 18 or up (open-ended integer),Respondent's age in years
Current residence,Residence,Current place of residence,String,Category,City,City | Village,Respondent's place of residence
Level of education,Education Level,Highest level of education attained,String,Category,University,University | College | High School | Primary | None,Highest level of education attained
Marital status,Marital Status,Current marital status,String,Category,Married,Married | Divorced | Widowed,Current marital status
Your occupation before latest pregnancy,Occupation Before Latest Pregnancy,Job before the latest pregnancy,String,Text,Teacher,Open-ended text response,Respondent's job before latest pregnancy
Monthly income before latest pregnancy,Monthly Income Before Latest Pregnancy,Income before latest pregnancy,String,BDT,10000 to 20000,None | Less than 5000 | 5000-10000 | 10000-20000 | 20000-30000 | More than 30000,Income range before latest pregnancy in BDT
Your occupation after your latest childbirth,Occupation After Latest Childbirth,Current job after childbirth,String,Text,Housewife,Open-ended text response,Respondent's job after childbirth
Current monthly income,Current Monthly Income,Current monthly income,String,BDT,None,None | Less than 5000 | 5000-10000 | 10000-20000 | 20000-30000 | More than 30000,Respondent's current income in BDT
Husband's level of education,Husband's Education Level,Highest education level of the husband,String,Category,College,University | College | High School | Primary | None,Highest education level of husband
Husband's monthly income,Husband's Monthly Income,Husband's monthly income,String,BDT,20000 to 30000,None | Less than 5000 | 5000-10000 | 10000-20000 | 20000-30000 | More than 30000,Monthly income of husband in BDT
Do you have any kind of addiction?,Addiction,Any form of addiction before/after pregnancy,List of Strings,Category (Multiple),Smoking,Smoking | Alcohol | Drugs | None,Multiple selections allowed; respondent's addiction(s)
Number of total children,Total Children,Total number of children,Integer,Count,2,1 | 2 | More than 2,Total number of children
Any disease before pregnancy?,Disease Before Pregnancy,Any pre-existing diseases before pregnancy,List of Strings,Category (Multiple),High blood pressure,High blood pressure | Diabetes | Premenstrual syndrome | None | Other,Multiple selections allowed; pre-existing medical conditions
History of pregnancy loss,History of Pregnancy Loss,History of miscarriage/stillbirth,String,Category,Miscarriage,Stillbirth | Miscarriage | None,Any history of pregnancy loss
Family type,Family Type,Type of family setup,String,Category,Joint,Joint | Nuclear,Type of family structure
Number of household members,Number of Household Members,Total number of people in the household,String,Category,3 to 5,3 to 5 | 6 to 8 | 9 or more,Stored as categorical range; total members in the household
Relationship with the in-laws,Relationship with In-Laws,Quality of relationship with in-laws,String,Category,Neutral,Good | Neutral | Bad,Respondent's relationship with in-laws
How is your relationship with your husband?,Relationship with Husband,Quality of relationship with husband,String,Category,Good,Good | Neutral | Bad,Relationship status with husband
Relationship/Bonding with the newborn,Relationship with Newborn,Emotional bonding with the newborn,String,Category,Good,Good | Neutral | Bad,Mother's bonding with newborn
How is the relationship between your husband and your child?,Relationship Between Father and Newborn,Quality of bonding between father and child,String,Category,Good,Good | Neutral | Bad,Bonding between husband and child
What is your feeling about motherhood?,Feeling About Motherhood,Overall emotional experience of motherhood,String,Category,Happy,Happy | Neutral | Sad,Respondent's feelings about motherhood
What kind of support did you receive before and after childbirth?,Received Support,"Support received pre/post-birth (daily chores, emotional, childcare)",List of Strings,Category (Multiple),A lot from husband,A lot from husband | Moderate from husband | Little from husband | A lot from paternal family | Moderate from paternal family | Little from paternal family | A lot from in-laws | Moderate from in-laws | Little from in-laws,"Multiple selections allowed; covers daily chores, emotional and childcare support"
Do you wish/feel that you should be offered more help?,Need for Support,"Desire for additional support (daily tasks, emotional, childcare)",List of Strings,Category (Multiple),Yes from husband,Yes from husband | Yes from paternal family | Yes from in-laws | Yes from others | No,Multiple selections allowed
Did you have any major changes or losses for pregnancy?,Major Changes or Losses During Pregnancy,Any significant life changes during pregnancy,List of Strings,Category (Multiple),Lost job,Relocated house | Lost job | Changed job | Separation from husband | No | Other,Multiple selections allowed
Has anyone in your family/husband/in-laws ever treated you like this?,Abuse,Experience of abuse or mistreatment,List of Strings,Category (Multiple),Insulted,Insulted | Humiliated | Frightened | Threatened | Physically harmed | Denied basic needs and money | None,Multiple selections allowed; experience of mistreatment or abuse
Trust and share feelings with close friends?,Trust and Share Feelings,Ability to confide in close friends or relatives,String,Category,Yes,Yes | No,Whether the respondent shares feelings with friends/relatives
Number of the latest pregnancy,Number of Latest Pregnancy,Number of pregnancies including miscarriages/stillbirths,Integer,Count,2,Range: 1 or more (open-ended integer),Count of all pregnancies including losses
Pregnancy length,Pregnancy Length,Gestation period in months,String,Months,9 months,5 months or less | 6 months | 7 months | 8 months | 9 months | 10 months,Stored as categorical range
Was this latest pregnancy planned?,Pregnancy Plan,Whether the pregnancy was planned,String,Category,Yes,Yes | No,Whether pregnancy was planned
Had regular checkups?,Regular Checkups,Attended regular prenatal checkups,String,Category,Yes,Yes | No,Whether respondent had regular prenatal checkups
Fear of pregnancy?,Fear of Pregnancy,Experienced fear related to pregnancy/childbirth,String,Category,No,Yes | No,Whether respondent had pregnancy-related fears
Diseases during pregnancy?,Diseases During Pregnancy,Any medical conditions during pregnancy,List of Strings,Category (Multiple),Gestational diabetes,Gestational diabetes | Anemia | High blood pressure | None | Other,Multiple selections allowed
Age of newborn,Age of Newborn,Current age of the newborn at time of survey,String,Months,6 months-1 year,0-6 months | 6 months-1 year | 1 year-1.5 years | 1.5 years-2 years,All participants delivered within 24 months prior to survey
