feature,importance_mean,importance_sd
Abuse,0.036445936323873544,0.01033277831341866
Recieved Support,0.01904180653036323,0.00823184746931908
Relationship with husband,0.012602990540128227,0.005554540186399683
Trust and share feelings,0.011236564608551254,0.007023071774450464
Need for Support,0.010585562675889282,0.007934952502635354
Pregnancy plan,0.010287186790085863,0.004093079380174287
Major changes or losses during pregnancy,0.010182077103041486,0.00461580017230368
Education Level,0.009703997558742843,0.00696155758933717
Number of household members,0.009022479910487302,0.004923815053981638
Diseases during pregnancy,0.008547791001254598,0.002972504226848773
Depression before pregnancy (PHQ2),0.008096836537483547,0.005134720247836048
Family type,0.007347506187909084,0.0029733395073706158
Relationship with the in-laws,0.005431797375648528,0.005172397956779741
Occupation After Your Latest Childbirth,0.004326450344149557,0.003323244437289977
Husband’s monthly income,0.004258637642830584,0.002130722125109558
Depression during pregnancy (PHQ2),0.00408571525446723,0.0075980833414290875
Age of immediate older children,0.0035059166581901556,0.004916495672863313
Monthly income before latest pregnancy,0.0034855728477944602,0.0016759343558295193
Breastfeed,0.003119384260672105,0.0019025058508196527
Disease before pregnancy,0.0020818499304920525,0.001590146394000024
Total children,0.0020615061200963828,0.0016912982565847475
Pregnancy length,0.0018139897602822011,0.0033043387022738745
Husband's education level,0.0017970365849524494,0.00279129797339391
Occupation before latest pregnancy,0.0017122707083037647,0.004572538845278517
Age,0.0012782694198624212,0.003993098676803612
Gender of newborn,0.00102058115485039,0.0029085819392814963
Birth compliancy,0.0008205336859594495,0.007043432090898753
Newborn illness,0.0008069711456956748,0.000631386870050766
Regular checkups,0.0005560641508155162,0.0009755606012737638
Residence,0.0005221578001560571,0.00030258449825142515
Mode of delivery,0.00022378191435261282,0.00026963544369268427
Fear of pregnancy,8.815651171473944e-05,0.008493905613264715
Marital status,0.0,0.0
Addiction,-5.7640796121083415e-05,0.00014066028218689752
History of pregnancy loss,-0.0008510494015528502,0.0009518509716912814
Current monthly income,-0.0011629878276200433,0.005507482129960777
Age of newborn,-0.004495982097446756,0.004330524628086131
Number of the latest pregnancy,-0.00569965754585828,0.004512206647744864
