term,coefficient,odds_ratio_per_encoded_unit,absolute_coefficient
Abuse_Missing / not reported,-0.8626803232717963,0.4220293898099327,0.8626803232717963
Depression before pregnancy (PHQ2)_Positive,0.6423963043728316,1.9010308741380022,0.6423963043728316
Relationship with husband_Good,-0.6070749027488688,0.5449425499838616,0.6070749027488688
Relationship with the in-laws_Good,-0.6024394565369656,0.5474744656085543,0.6024394565369656
Depression during pregnancy (PHQ2)_Positive,0.5581338949586028,1.7474086078477067,0.5581338949586028
Abuse_Yes,-0.541048258725598,0.5821377014971622,0.541048258725598
Fear of pregnancy_Yes,0.5373209812220499,1.7114158000946407,0.5373209812220499
Education Level_University,0.5225099535540589,1.6862547636869747,0.5225099535540589
Recieved Support_Low,0.5198202007633096,1.6817252495978467,0.5198202007633096
Trust and share feelings_Yes,-0.4952059038155292,0.6094454072415748,0.4952059038155292
Current monthly income_20000 to 30000,-0.43310096303711854,0.6484950144734191,0.43310096303711854
Recieved Support_Medium,0.4148942445535774,1.514210596206542,0.4148942445535774
Birth compliancy_Yes,0.41186514047252826,1.5096308344992329,0.41186514047252826
Major changes or losses during pregnancy_Yes,0.4094620697016822,1.5060074401462928,0.4094620697016822
Need for Support_Low,0.406535522986611,1.501606481965378,0.406535522986611
Number of household members_6 to 8,0.38805873369564675,1.4741163620473572,0.38805873369564675
Current monthly income_5000 to 10000,0.3547254644278527,1.425789170700115,0.3547254644278527
Age of newborn_6 months to 1 year,0.3426660089271391,1.4086981907274772,0.3426660089271391
Age of immediate older children_7yr to 12yr,-0.32627031976510745,0.721610095592774,0.32627031976510745
Relationship with the in-laws_Friendly,-0.3089047879115509,0.7342506762385822,0.3089047879115509
Number of household members_9 or more,0.2931515001321717,1.3406458830754933,0.2931515001321717
Occupation After Your Latest Childbirth_Student,-0.2826451987268729,0.7537871850734071,0.2826451987268729
Pregnancy plan_Yes,-0.2824403695437082,0.753941598500454,0.2824403695437082
Occupation before latest pregnancy_Other,0.268285514452357,1.3077204598092202,0.268285514452357
Relationship with the in-laws_Neutral,-0.26759497150921174,0.7652176532963336,0.26759497150921174
Need for Support_Missing / not reported,-0.2596425998511881,0.771327209006027,0.2596425998511881
Husband's education level_College,0.25375075915774786,1.2888505300404935,0.25375075915774786
Age of newborn_1 year to 1.5 year,0.23972693504494647,1.270902064120006,0.23972693504494647
Relationship with husband_Friendly,-0.23815091616983397,0.7880837475380564,0.23815091616983397
Diseases during pregnancy_Chronic Disease,0.23604464309682288,1.2662308373709685,0.23604464309682288
Pregnancy length_6 months,-0.23157681462074026,0.7932817575253459,0.23157681462074026
Current monthly income_More than 30000,-0.2311114769680908,0.7936509872978774,0.2311114769680908
Family type_Nuclear,-0.23040716781336923,0.7942101598459427,0.23040716781336923
Diseases during pregnancy_Non-Chronic Disease,0.22878884974787872,1.2570765789482652,0.22878884974787872
Total children_Two,0.2171333133139186,1.2425097341872806,0.2171333133139186
Gender of newborn_Girl,0.21670170690745336,1.2419735747391596,0.21670170690745336
Husband’s monthly income_Less than 5000,-0.20767389541891976,0.8124719443388441,0.20767389541891976
Education Level_High School,-0.20607657011475497,0.813770763376562,0.20607657011475497
Age of immediate older children_Not available or not applicable,0.19590329848866472,1.2164092710317895,0.19590329848866472
Occupation before latest pregnancy_Housewife,-0.18940904416226406,0.8274479746985578,0.18940904416226406
Number of the latest pregnancy,-0.18878678740090463,0.8279630200240863,0.18878678740090463
Breastfeed_Yes,-0.188251907164063,0.8284059995402658,0.188251907164063
Husband's education level_High School,-0.18554944833299883,0.8306477604183199,0.18554944833299883
Husband’s monthly income_5000 to 10000,-0.18175889392593456,0.8338023509937206,0.18175889392593456
Regular checkups_Yes,-0.17922615269002917,0.8359168331784604,0.17922615269002917
History of pregnancy loss_Stillbirth,-0.17244288196483198,0.841606358340515,0.17244288196483198
Pregnancy length_Less than 5 months,0.17129651553558697,1.1868426141257837,0.17129651553558697
Pregnancy length_9 months,-0.16311341474178284,0.8494948377132335,0.16311341474178284
Age of newborn_Older than 1.5 year,0.16305010278220486,1.1770956639787533,0.16305010278220486
Disease before pregnancy_Chronic Disease,0.16294080999420044,1.176967022941786,0.16294080999420044
Occupation before latest pregnancy_Service,0.15794615829432906,1.1711031388196558,0.15794615829432906
Current monthly income_10000 to 20000,-0.1540571049432826,0.8572230679390643,0.1540571049432826
Pregnancy length_7 months,0.15107269322612588,1.163081203133759,0.15107269322612588
Education Level_Other / infrequent,-0.15104018365803296,0.8598131475275222,0.15104018365803296
Age,-0.1472908722544459,0.8630429056675317,0.1472908722544459
Addiction_Smoking,0.13403487087746058,1.1434326914507285,0.13403487087746058
Monthly income before latest pregnancy_5000 to 10000,-0.13103668823048412,0.8771855914135238,0.13103668823048412
Occupation before latest pregnancy_Doctor,-0.1253338637543393,0.8822023180337941,0.1253338637543393
Monthly income before latest pregnancy_20000 to 30000,-0.12227374595424187,0.8849060958799337,0.12227374595424187
Education Level_Primary School,-0.11817648553547125,0.8885392244552583,0.11817648553547125
Age of immediate older children_1yr to 3yr,-0.10657150398917874,0.89891077015721,0.10657150398917874
Occupation After Your Latest Childbirth_Teacher,-0.1061957683110898,0.8992485864658221,0.1061957683110898
Pregnancy length_8 months,-0.10573771094350141,0.8996605882591708,0.10573771094350141
Current monthly income_Less than 5000,0.10196968621772946,1.1073499032552776,0.10196968621772946
Total children_One,0.09738758231190471,1.1022875179834675,0.09738758231190471
Husband's education level_Primary School,-0.07849163263361868,0.9245097956113725,0.07849163263361868
Occupation before latest pregnancy_Teacher,-0.0771593827355429,0.9257422945083149,0.0771593827355429
Relationship with husband_Other / infrequent,0.07272807807517993,1.075438061963496,0.07272807807517993
Occupation After Your Latest Childbirth_Housewife,0.0718011708101934,1.0744416924532243,0.0718011708101934
Husband’s monthly income_More than 30000,0.0707780470955552,1.0733429678391273,0.0707780470955552
Monthly income before latest pregnancy_10000 to 20000,0.07026967682463667,1.0727974508578348,0.07026967682463667
Husband’s monthly income_20000 to 30000,0.06933581405548789,1.0717960729072091,0.06933581405548789
Need for Support_Medium,0.06115217214491056,1.0630606701018503,0.06115217214491056
Newborn illness_Yes,-0.0585929378328876,0.943090587531174,0.0585929378328876
Occupation before latest pregnancy_Student,-0.05536113398069329,0.9461434017161401,0.05536113398069329
Disease before pregnancy_Non-Chronic Disease,-0.053932810375939014,0.9474957662474707,0.053932810375939014
Addiction_Other / infrequent,-0.0508174555513138,0.95045215446222,0.0508174555513138
Relationship with the in-laws_Poor,-0.050732767326971386,0.9505326499759668,0.050732767326971386
Relationship with husband_Neutral,-0.048833859928178784,0.9523393382818085,0.048833859928178784
Monthly income before latest pregnancy_Less than 5000,0.04870293581899735,1.0499084142265396,0.04870293581899735
Age of immediate older children_4yr to 6yr,0.04792205701699333,1.0490888830207414,0.04792205701699333
Occupation After Your Latest Childbirth_Other,0.045657095257499176,1.046715425728055,0.045657095257499176
Trust and share feelings_Other / infrequent,-0.03476228248254122,0.9658349848651226,0.03476228248254122
Occupation After Your Latest Childbirth_Service,0.03265967316329316,1.0331988541030486,0.03265967316329316
Residence_Village,0.025201545118998598,1.0255217886081782,0.025201545118998598
Mode of delivery_Normal Delivery,-0.017941133011409052,0.9822188509223727,0.017941133011409052
Occupation After Your Latest Childbirth_Doctor,0.016858966134212533,1.0170018805036807,0.016858966134212533
Husband’s monthly income_10000 to 20000,-0.01511898147978608,0.9849947364993714,0.01511898147978608
History of pregnancy loss_Miscarriage,0.013552101663434322,1.0136443476310613,0.013552101663434322
Marital status_Married,-0.01090463296917947,0.9891546070152886,0.01090463296917947
Monthly income before latest pregnancy_More than 30000,-0.009715119370674203,0.9903319199474094,0.009715119370674203
Husband's education level_University,-0.007000331702685584,0.9930241135444151,0.007000331702685584
Depression before pregnancy (PHQ2)_Other / infrequent,0.0,1.0,0.0
Age of immediate older children_Other / infrequent,0.0,1.0,0.0
Newborn illness_Other / infrequent,0.0,1.0,0.0
Mode of delivery_Other / infrequent,0.0,1.0,0.0
Age of newborn_Other / infrequent,0.0,1.0,0.0
Gender of newborn_Other / infrequent,0.0,1.0,0.0
Birth compliancy_Other / infrequent,0.0,1.0,0.0
Breastfeed_Other / infrequent,0.0,1.0,0.0
Number of household members_Other / infrequent,0.0,1.0,0.0
Diseases during pregnancy_Other / infrequent,0.0,1.0,0.0
Disease before pregnancy_Other / infrequent,0.0,1.0,0.0
Residence_Other / infrequent,0.0,1.0,0.0
Marital status_Other / infrequent,0.0,1.0,0.0
Occupation before latest pregnancy_Other / infrequent,0.0,1.0,0.0
Monthly income before latest pregnancy_Other / infrequent,0.0,1.0,0.0
Occupation After Your Latest Childbirth_Other / infrequent,0.0,1.0,0.0
Current monthly income_Other / infrequent,0.0,1.0,0.0
Husband's education level_Other / infrequent,0.0,1.0,0.0
Husband’s monthly income_Other / infrequent,0.0,1.0,0.0
Total children_Other / infrequent,0.0,1.0,0.0
History of pregnancy loss_Other / infrequent,0.0,1.0,0.0
Fear of pregnancy_Other / infrequent,0.0,1.0,0.0
Family type_Other / infrequent,0.0,1.0,0.0
